IMO,Name,Flag,Type,Age,Date d'inspection,Type d'inspection,Port d'inspection,Nombre de deficienes,Detentions,,,,
9266554,ANNETTE,Antigua and Barbuda,General cargo/multipurpose,17,16/12/2016,More detailed inspection,Italy - Ravenna,3,,,,,
9671450,ATLANTIC DAWN,Netherlands,General cargo/multipurpose,4,16/12/2016,More detailed inspection,Canada - Quebec City,8,,,,,
8857071,AVALON,Russian Federation,General cargo/multipurpose,39,16/12/2016,More detailed inspection,Bulgaria - Varna,4,,,,,
7816135,AYRESS,Dominica,General cargo/multipurpose,38,16/12/2016,More detailed inspection,United Kingdom - Ayr,1,,,,,
9233624,BARU SATU,Panama,Bulk carrier,16,16/12/2016,Expanded inspection,France - La Rochelle- La Pallice (GPM),4,,,,,
9400899,CLIPPER KAMOSHIO,Panama,General cargo/multipurpose,10,16/12/2016,More detailed inspection,Norway - Havik,4,,,,,
9658874,CRYSTALIA,Greece,Bulk carrier,3,16/12/2016,Initial inspection,France - Dunkerque (GPM),1,,,,,
8872526,DMITRY DONSKOY,"Moldova, Republic of",General cargo/multipurpose,37,16/12/2016,Expanded inspection,Russian Federation - Rostov/Don,3,,,,,
9283540,HANSE GATE,Antigua and Barbuda,Bulk carrier,12,16/12/2016,Expanded inspection,Spain - Vilagarcia de Arousa,2,,,,,
9239458,HARRIETT,Liberia,Bulk carrier,15,16/12/2016,Expanded inspection,Netherlands - Rotterdam,3,,,,,
9170262,HARVEST FESTIVAL,Marshall Islands,Bulk carrier,19,16/12/2016,Expanded inspection,Germany - Hamburg,7,,,,,
9253260,INDUSTRIAL CENTURY,Antigua and Barbuda,General cargo/multipurpose,15,16/12/2016,More detailed inspection,Italy - Marina di carrara,2,,,,,
9477294,JULIANA,Liberia,Container,8,16/12/2016,More detailed inspection,Portugal - Lisbon,3,,,,,
8915536,LANGFOSS,Antigua and Barbuda,Refrigerated cargo,26,16/12/2016,More detailed inspection,Netherlands - Velsen,2,,,,,
9151395,MACHITIS,Bahamas,Bulk carrier,20,16/12/2016,Expanded inspection,Greece - Piraeus,8,,,,,
9665102,NAO THUNDER,Norway,Offshore supply,4,16/12/2016,More detailed inspection,United Kingdom - Aberdeen,3,,,,,
9172571,NEARCHOS,Liberia,Bulk carrier,19,16/12/2016,Expanded inspection,Greece - Chios,5,,,,,
9108415,OLGA,Barbados,General cargo/multipurpose,22,16/12/2016,More detailed inspection,United Kingdom - Warrenpoint,9,,,,,
9663348,PEACE GEM,Panama,Bulk carrier,4,16/12/2016,More detailed inspection,Spain - San Ciprian,4,,,,,
9659799,POLA LADOGA,Malta,Bulk carrier,3,16/12/2016,More detailed inspection,United Kingdom - Liverpool,2,,,,,
9440291,SAINT NEKTARIS,Cyprus,Bulk carrier,11,16/12/2016,More detailed inspection,Germany - Hamburg,32,Detention,,,,
8871338,SAPPHIRE,Russian Federation,General cargo/multipurpose,33,16/12/2016,Initial inspection,Italy - Ravenna,3,,,,,
7016644,SEAWAY INVINCIBLE,Togo,Other special activities,46,16/12/2016,Expanded inspection,Italy - Siracusa - Santa Panagia,4,,,,,
9146003,STEEL INTEGRITY,Liberia,Bulk carrier,19,16/12/2016,Expanded inspection,Greece - Eleusina (Elefsis),4,,,,,
9085675,TOLUNAY,Cook Islands,Bulk carrier,22,16/12/2016,Expanded inspection,France - Marseille (GPM),3,,,,,
9500053,WAF PASSION,Sri Lanka,General cargo/multipurpose,8,16/12/2016,More detailed inspection,Belgium - Antwerpen,1,,,,,
8805949,AGAT,Poland,Passenger ship,29,17/12/2016,Expanded inspection,Russian Federation - Kaliningrad,1,,,,,
9146405,BURCUM-I,Turkey,General cargo/multipurpose,21,17/12/2016,More detailed inspection,Romania - Galati,3,,,,,
9538749,CAPE ASTER,Panama,Bulk carrier,6,17/12/2016,Initial inspection,Italy - Taranto,1,,,,,
9342657,DAHI BYULBYUL,Russian Federation,Chemical tanker,12,17/12/2016,Expanded inspection,Romania - Constanta,5,Detention,,,,
9282510,ELIXIR,Marshall Islands,Oil tanker,13,17/12/2016,Expanded inspection,Netherlands - Amsterdam,4,,,,,
8100624,FOM,Panama,General cargo/multipurpose,35,17/12/2016,More detailed inspection,Bulgaria - Burgas,7,,,,,
